Label,External URI
"W. W. Norton",http://viaf.org/viaf/127676589
"W. and R. Chambers",http://viaf.org/viaf/264492873
"Walter Scott",http://viaf.org/viaf/127105541
"Ward and Downey",http://viaf.org/viaf/141084982
"Ward, Lock",http://viaf.org/viaf/168384203
"Weidenfeld and Nicolson",http://viaf.org/viaf/167923742
"William Andrews Clark Memorial Library, University of California",http://viaf.org/viaf/158783898
"William Blackwood and Sons",http://viaf.org/viaf/148038877
"William Heinemann",http://viaf.org/viaf/129924961
"William Lane",http://viaf.org/viaf/17088379
"William Pickering",http://viaf.org/viaf/39150030775610962228
"Williams and Norgate",http://viaf.org/viaf/157505963
"Women's Press",http://viaf.org/viaf/261536203
"Yale University Press",http://viaf.org/viaf/121971897
"Éditions de la Nouvelle Revue Française",http://viaf.org/viaf/146659267
https://commons.cwrc.ca/orlando:0002e97c-f9f6-41ac-bbf4-af2ab1e1f51c,http://viaf.org/viaf/123241335
https://commons.cwrc.ca/orlando:00ce2c41-b247-44e3-a9d9-b10a155413f9,http://viaf.org/viaf/126853904
https://commons.cwrc.ca/orlando:0198518b-221e-4335-971a-1374c8774bf8,http://viaf.org/viaf/157193471
